start_date,end_date,location
2025-01-25,2025-01-27,Trump National Doral Miami
2025-01-31,2025-02-02,Mar-a-Lago
2025-02-07,2025-02-09,Mar-a-Lago
2025-02-14,2024-02-19,Mar-a-Lago
