detail_id,alias
20250317-dol-ssa-employee-7,SSA-7
20250306-nasa-ssa-employee-2,SSA-2
20250226-opm-ssa-employee-8,SSA-8
20250218-gsa-ssa-employee-10,SSA-10
20250222-dol-ssa-employee-3,SSA-3
20250212-opm-education-ed-1,ED-1
20250212-ssa-opm-education-sge,OPM-3
20250212-gsa-education-ed-3,ED-3
